name,brand,pack_value,pack_unit,is_multipack,variant,unit_price,parse_status
NOICE High Protein Eggs (Nut &amp; Bean Feed),NOICE,,,False,pro,,no_pack
Baskin Robbins Ice Cream Rocks Mississippi Mud Pack,Baskin,,,False,,,no_pack
Tuco Kids Dull Skin Kids Soap,Tuco,,,False,,,no_pack
"Clear Premium Drinking Water | Naturally Filtered, Added Minerals for Pure &amp; Refreshing Taste | Bottle",Clear,,,False,premium natural,,no_pack
FarmSe Raw Pumpkin Seeds,FarmSe,,,False,,,no_pack
Gemini Refined Sunflower Oil,Gemini,,,False,mini,,no_pack
Pringles Potato Chips Original,Pringles,,,False,original,,no_pack
Tata Coffee Belgian Chocolate Cold Coffee,Tata,,,False,chocolate,,no_pack
Lay&#39;s (West Indies Hot &#39;n&#39; Sweet Chilli) Potato Chips,Lay&#39;s,,,False,,,no_pack
Neosporin Antibiotic Ointment,Neosporin,,,False,,,no_pack
Meraki by Whole Farm Festive Dry Fruits Gift Pack,Meraki,,,False,whole dry,,no_pack
Himalaya Extra Moisturizing Baby Soap,Himalaya,,,False,extra,,no_pack
Nippo Thor AAA Alkaline Battery,Nippo,,,False,,,no_pack
"Philips Avent Breast milk storage bag (0-2 years, BPA Free)",Philips,,,False,,,no_pack
Toblerone Dark Chocolate Bar,Toblerone,,,False,chocolate,,no_pack
Keventer Chicken Nuggets,Keventer,,,False,,,no_pack
Parle Kismi Assorted Toffee,Parle,,,False,,,no_pack
Alpenliebe Strawberry Guava Juzt Jelly Assorted Flavour Birthday Pouch,Alpenliebe,,,False,strawberry,,no_pack
Bold Care Men's Hair Removal Spray with Aloe Vera & Shea Butter,Bold,,,False,butter,,no_pack
Shaastram Hair Oil Rose & Bhringraj,Shaastram,,,False,,,no_pack
House of Quirk Insulated Leakproof Lunch Bag,House,,,False,pro,,no_pack
Dubstep Buzz X11 TWS Earbuds (Black),Dubstep,,,False,,,no_pack
SUNSILK LUSCIOUS THICK &amp; LONG CONDITIONER,SUNSILK,,,False,,,no_pack
Chandramukhi Potato,Chandramukhi,,,False,,,no_pack
Antson 24 in 1 Mini Screw Driver Set,Antson,,,False,mini,,no_pack
Nestle A+ Probiotic Blueberry Yoghurt,Nestle,,,False,pro,,no_pack
SMOOR Pistachio & Kunafa Choco Bites Pack Of 8,SMOOR,8.0,count,True,,,ok
Paradyes Hazel Brown Glossy Tint Hair Colour Kit (Light Brown),Paradyes,,,False,,,no_pack
Pilgrim 24K Gold Face Mask For Glowing Skin,Pilgrim,,,False,,,no_pack
The Theatre Project Old Fashioned Caramel Gourmet Popcorn,,,,False,pro,,no_pack
Storia Tender Coconut Water- No Added Sugar,Storia,,,False,,,no_pack
Reese's Peanut Butter Crispy Wafer Chocolate,Reeses,,,False,chocolate butter,,no_pack
Lotte Subak Watermelon Ice Cream Popsicle,Lotte,,,False,,,no_pack
Just Say Makhana - Wasabi,Just,,,False,,,no_pack
Bombay Shaving Company Sensi Smart 3 Men's Razor Cartridge - Pack of 2,Bombay,2.0,count,True,,,ok
Veeba Cheesy Melt Cheddar I Cheesy Spread & Dressing,Veeba,,,False,,,no_pack
Goldiee Garam [2001] 50G.,Goldiee,50.0,g,False,,,ok
Ratan Brooms Broom / Jhadu (Grass),Ratan,,,False,,,no_pack
Little Joys Strawberry Honey Jam,Little,,,False,strawberry,,no_pack
KK 3-Fold Compact Umbrella (Jet Black),KK,,,False,,,no_pack
"Noise Pure Pods Wireless Open Ear OWS with Mic, 80H Playtime, ENC, BT v5.3 (Power Black)",Noise,,,False,,,no_pack
Lakme Tint Matte Sunscreen (SPF 50 PA++++),Lakme,,,False,,,no_pack
Marvis Anise Mint Mouth Wash,Marvis,,,False,mint,,no_pack
Meishi Spicy Teriyaki Sauce,Meishi,,,False,,,no_pack
Sour Dip N Stix Gummy Candy Strawberry Flavour,Sour,,,False,strawberry,,no_pack
"Swype Glass & Surface Cleaner, Refill Pack Pouch",Swype,,,False,,,no_pack
Skippi Natural Flavoured Ice Pops,Skippi,,,False,natural,,no_pack
Johnson's Baby Cream,Johnsons,,,False,,,no_pack
NESTEA Lemon Flavour Iced Tea,NESTEA,,,False,lemon,,no_pack
Halonix Prime Trios 9W LED Bulb B22 with 3-in-1 Light Modes & Wall Switch Control - CDL/NW/WW,Halonix,,,False,,,no_pack
Kab's Jackpot Schezwan Chilli Crisps,Kabs,,,False,,,no_pack
Meaty Story Amritsar Ka Chicken Seekh,Meaty,,,False,,,no_pack
Cavin's Chocolate Milkshake - Rich & Creamy,Cavins,,,False,chocolate creamy,,no_pack
True Elements Raw Pumpkin Seeds (250 g),True,250.0,g,False,,,ok
"TWININGS The Tea Lover Collection Assortment Tea Gift Set, Best Gift For Tea Lovers",TWININGS,,,False,,,no_pack
Motomax Chain Lubricant Spray for Chains in Bikes,Motomax,,,False,,,no_pack
Kastner Men Semi Formal Belt,Kastner,,,False,,,no_pack
Krishna Chakki Atta,Krishna,,,False,,,no_pack
Amul Gold Cookies n Cream Ice Cream Tub,Amul,,,False,,,no_pack
Amul Chocolate Cookies,Amul,,,False,chocolate,,no_pack
Farmley Natural Quinoa High Protein,Farmley,,,False,natural pro,,no_pack
NOICE Special Masala Roasted Makhana (No Palm Oil),NOICE,,,False,roasted masala,,no_pack
Popular Essentials Cashews Whole,Popular,,,False,whole,,no_pack
Noice Olive And Jalapeno Focaccia Bread (Freshly Made),Noice,,,False,,,no_pack
Cream & Onion Makhana & Diet Coke Combo,Cream,,,False,diet,,no_pack
Coconut Hookah Coal by Bongchie,Coconut,,,False,,,no_pack
Veeba Pasta &amp; Pizza Sauce Herby Tomato,Veeba,,,False,,,no_pack
Paper Boat Zero Sugar Green Apple Sparkling Drink,Paper Boat,,,False,zero,,no_pack
Harry Potter Thread Rakhi by Warner Bros.,Harry,,,False,,,no_pack
Paper Boat Jaljeera Refreshing Summer Drink,Paper Boat,,,False,,,no_pack
Borosil Prime Glass Bottle with Steel Lid (1 ltr),Borosil,1000.0,ml,False,,,ok
Pintola All Natural Peanut Butter Crunchy,Pintola,,,False,crunchy natural butter,,no_pack
"Bla Bli Blu Women Perfume Trial Pack (Floral, Fresh)",Bla,,,False,,,no_pack
iD Fresh Peanut Chutney 120 g,,120.0,g,False,,,ok
Henko Matic Top Load Liquid Detergent Refill Pouch - Super saver pack,Henko,,,False,,,no_pack
"Aashirvaad Saunf, 100% Fennel, 100g",Aashirvaad,100.0,g,False,,,ok
Giordano Midnight Oud Eau De Parfum,Giordano,,,False,,,no_pack
"Bazana Crunchy California Walnut - Omega-3 rich, Brain & Heart Wellness",Bazana,,,False,crunchy,,no_pack
Party Propz Black & Gold Happy Birthday Banner with Ribbon,Party,,,False,pro,,no_pack
Vembley Cat Eye Press On Nails (Nude Brown),Vembley,,,False,,,no_pack
The Belgian Gold Tin Gift Box,,,,False,,,no_pack
Tekcool Activated Carbon Tap Filter (Multicolour),Tekcool,,,False,,,no_pack
Truefarm Virgin Coconut Oil,Truefarm,,,False,,,no_pack
Hula Hoop Exfoliating Body Wash by Foxtale (Packaging May Vary),Hul,,,False,,,no_pack
"The Baker's Dozen Carrot Walnut, Cake Zero Maida",,,,False,zero,,no_pack
Beco Natural Dishwash Gel Pack,Beco,,,False,natural,,no_pack
"Tynor Knee Cap Air Breathable Support (1 Pair, Black, Orange)",Tynor,,,False,orange,,no_pack
Elle 18 Matte Max Liquid Lipstick (Nude Petal),Elle,,,False,,,no_pack
Sinco Super Cloth Clips / Cloth Pegs - Pack of 1 (12 Pieces),Sinco,1.0,count,True,,,ok
Pluckk On The Go Fruit Cup,Pluckk,,,False,,,no_pack
"Teakwood Leathers Women&#39;s Casual Belt, Brown (Genuine Leather) - Free Size",Teakwood,,,False,,,no_pack
MARS Cosmetics Lippy Top Hydrating Lip Gel (04-Zesty Cranberry),MARS,,,False,,,no_pack
Supreme Harvest Red Chilli Powder,Supreme,,,False,,,no_pack
Avocado Hass - Tanzania,Avocado,,,False,,,no_pack
Nivea Sunscreen (SPF 50),Nivea,,,False,,,no_pack
Phulwaa Fresh Daily Mix,Phulwaa,,,False,,,no_pack
HealthFields Organic Rozana Panchrangi Dal (Mix Daal),HealthFields,,,False,organic,,no_pack
Celery (Ajamoda),Celery,,,False,,,no_pack
