code,product_name,brands,quantity,categories,countries
8904004403725,Moong Dal,Haldiram's,35 g,"Salty snacks, Namkeen","France, India"
89009758,NESCAFE classic,Nescafe,24gm,"Coffees, Instant coffees",India
8901063019201,8901063019201,Britannia,,Biscuits,India
8901058023787,2-minute noodles masala taste,Maggi,140g,"Herbs and spices, Instant noodles, Tastemaker",India
8901764032271,Sprite 750ml,coca cola,5,"Sodas, Sweetened beverages, Sprite",India
8901491101837,Lays Classics Salted 20rs,Lay's,50g,Potato crisps,India
8901491503037,American Style Cream & Onion 10rs,"Lay's, PepsiCo",24g,Flavoured potato crisps,India
8902579103057,Frooti,Parle,300ml,"Plant-based beverages, Sweetened beverages",India
8901063029279,Jimjam,Britannia,138 g,Biscuits,India
8901764092800,Maaza,Coca-Cola Company,250ml,Fruit juices,India
8904043551548,Modern 100% Whole Wheat Bread,Modern,400 g,Wholemeal sliced breads,India
8903553601613,Mango Pickle,RAM BANDHU,1kg,Plant-based pickles,India
8904004402216,Haldiram Phulhari,Haldiram,,Salty snacks,India
8906010504625,8906010504625,Gippi,,"Crisps, Balaji",India
8901063016873,50-50,Britannia,62.8 g,Biscuits,India
8901719131219,Parle g 800 g,Parle,800g,Biscuits,India
8906001023043,Govardhan pure cow ghee 500ml,Paragon Partners,500ml,"Butters, ghee",India
8902080003075,nimbooz,7up,345ml,Sodas,"India, United States"
7622202237393,Bournvita 70g,,,"Dietary supplements, Dietry",India
8904004400779,Haldiram's Aloo Bhujia,Haldiram's,,"Sev, Snakes","France, India"
8901725007102,Bingo,Itc,21g g,Potato crisps,India
8901595873258,Smith & Jones Ginger Garlic Paste,Smith and Jones,,Canned vegetables,India
8904083303077,Farm Fresh Sahi Plain Yoghurt,Milky Mist,1kg,Yogurts,India
8904004401554,Masala Sev Murmura,Haldiram's,,"Fried Snacks, fried puffed rice",India
8901063142664,britannia,Britannia,,Biscuits,India
8902346034867,,,,Energy drink with sugar,"India, United States"
3948764092305,3948764092305,,,Garam masalas,India
8904004400694,Aloo Bhujia,Haldiram's,42 g,"Snacks, Potato preparations",India
8906010500276,Balaji Wafers Shing Bhujia,Balaji Wafers,25g,Appetizers,India
8904071704527,Plantain Chips (Yellow Banana Chips),,170,Snacks,"India, Indonesia"
8906010502041,,Balaji Wafers,22g,Crisps,India
8908000794023,Pasteurised full cream milk,Gokul,,"Whole milks, Pasteurised full cream milk","India, United Kingdom"
8901719135224,,,,,India
8901262180115,malai paneer fresh,Amul,200g,Paneer,India
8902080002283,7up,PepsiCo Inc.,400ml,"Artificially sweetened beverages, Sodas, Carbonated waters",India
8901764072277,kinley. ORIGINAL STRONG SODA,kinley,24,"Sodas, Sweetened beverages","France, India"
3948764072277,Soda 750 ml,,,Sodas,India
8901491504782,West Indies hotn sweet chilli,Lay's,50gm,Chips,India
8904004400571,,Haldiram's,,,India
8901058023800,Maggi 2-minute noodles Masala,"Maggi, Nestlé",8 x 70g (560g),Instant noodles,"Bhutan, India, Nepal"
8906010500894,Chataka pataka,Balaji Wafers,25g,Puff pastry appetizers,"India, United Kingdom"
8901491100533,Chilli Chatka 20rs,Kurkure,75g,"Crisps, Crispy biscuits","India, Spain, United Kingdom"
8901595862818,Dark Soy sauce,Ching secret,90g,Soy sauces,India
8906010500368,Tikha Mitha Mix,Balaji Namkeen,30 g,Ready-to-Eat Savouries,India
8901491103084,Green chutney style,Kurkure,75g,"Appetizers, Botanas, Snacks salados","India, Spain"
89009949,Nescafe Classic Instant coffee,Nescafe,45g,"Coffees, Instant coffees",India
8906010500030,Malasa Masti,Balaji Wafers,30g,"Potato crisps, Wafers",India
8901725016296,Dark Fantasy Bourbon Biscuit,Sunfeast,108g,Chocolate biscuits,India
8906010503444,8906010503444,,,,India
3948764012273,Coca cola Soft Drink 750ml,Coca cola,750ml,"Cola with sugar and artificial sweetener, Sweetened beverages",India
8901491503013,Yellow Salted Lays,Lay's,,Potato crisps in sunflower oil,India
8901595863280,Schezwan Chutney,Ching's Secret,600 g,Fruit chutneys,India
8902579002442,Appy fizz,Parle,,Sparkling apple juices,India
7622202216695,Gems,Cadbury,7.11g,"Confectioneries, Gems",India
8901719130144,Parle Hide & Seek Cookies,Parle Biscuits PVT Ltd,412.5g,"Candies, Chocolate biscuits, Choco chips",India
8901725013691,Bingo mad snack,,200g,Healthy,India
8904004403671,TASTY NUTS Shing Bhujia,Haldiram's,40g,Snacks,India
8901063012868,Milk bikis biscuits,Britannia,,Biscuit (cookie) vitamins and chemical elements content guaranteed,"India, United States"
8909081005251,Yippee Noodles,Sunfeast,72.6 g,Instant noodles,"India, United Kingdom"
3948764042270,Thumbs Up 750ml pet,Thumps up,750ml,Sodas,India
8901764052910,Limca,Pepsi,100 ml,"Sodas, Carbonated fruit soft drink",India
8901764022913,Fanta,"Coca-Cola, St-Hubert",250ml,"Fruit sodas, Sweetened beverages",India
8904004400250,Haldiram's Soya Sticks,Haldiram's,200g,Snacks,India
8906007280242,refined sunflower oil,fortune,1 l,Sunflower oils,India
8902080204342,Pepsi Brand Mirinda orange flv 2ltr,Pepsico,18,"Fruit sodas, Sweetened beverages",India
8901063162464,BRITANNIA marie GOLD,Britannia,68 g,Biscuits,India
8906010500498,balaji wafers tomato twist,,,"Crisps, Salty snacks made from potato, Chip",India
8901725007508,Bingo! Potato Chips Chilli Sprinkled,ITC,90g,Potato crisps,India
8906006330276,,,,Sunflower oils,"India, United States"
8901764012600,,,,Sodas,India
8901071211307,Hershey's syrup,Hershey's,200g,"Syrups, Chocolate syrup",India
8901719100369,Parle Bis Hide &seek,Parle,33 g,Biscuits,India
8906010503550,Wafers,,,Wafers,India
